HOSTNAME,IPADDRESS,GATEWAY,MGMTVLAN,PORTVLAN1,PORTVLAN2,PORTS2,PORTVLAN3,PORTS3,LOCATION
SW_CCAB_14,10.122.24.11,10.122.24.251,931,150,150,1,,,CCAB 14
SW_CCAB_13,10.122.24.12,10.122.24.251,931,140,140,1,,,CCAB 13
SW_CCAB_12,10.122.24.13,10.122.24.251,931,130,130,1,,,CCAB 12
SW_CCAB_11,10.122.24.14,10.122.24.251,931,280,280,1,,,CCAB 11
SW_CCAB_10,10.122.24.15,10.122.24.251,931,1,1,1,,,CCAB 10
SW_CCAB_9,10.122.24.16,10.122.24.251,931,1,1,1,,,CCAB 9
SW_CCAB_8,10.122.24.17,10.122.24.251,931,370,370,1,,,CCAB 8
SW_CCAB_7,10.122.24.18,10.122.24.251,931,1,1,1,,,CCAB 7
SW_CCAB_5,10.122.24.19,10.122.24.251,931,310,110,12,30,10,CCAB 5
SW_CCAB_4,10.122.24.20,10.122.24.251,931,1,1,1,,,CCAB 4
SW_CCAB_3,10.122.24.21,10.122.24.251,931,1,1,1,,,CCAB 3
SW_CCAB_MEZZ,10.122.24.22,10.122.24.251,931,1,1,1,,,CCAB MEZZ
SW_CCAB_1,10.122.24.23,10.122.24.251,931,160,160,1,,,CCAB 1
SW_CCAB_LL,10.122.24.24,10.122.24.251,931,1,1,1,,,CCAB LL
SW_CCAB_B1,10.122.24.25,10.122.24.251,931,105,140,11,110,3,CCAB B1
SW_KITCH_IDF,10.122.24.26,10.122.24.251,931,831,994,1,,,KITCHEN IDF
SW_KITCH_MDF,10.122.24.27,10.122.24.251,931,831,30,2,,,KITCHEN MDF
SW_CH_LLA,10.122.24.28,10.122.24.251,931,190,310,20,90,3,Courthouse LLA
SW_CH_LLB,10.122.24.29,10.122.24.251,931,310,251,26,190,6,Courthouse LLB
SW_CH_3a,10.122.24.30,10.122.24.251,931,190,251,10,310,8,Courthouse 3a
SW_CH_3b,10.122.24.31,10.122.24.251,931,251,310,11,190,6,Courthouse 3b
SW_CH_3c,10.122.24.32,10.122.24.251,931,310,251,12,500,6,Courthouse 3c
SW_CH_3d,10.122.24.33,10.122.24.251,931,251,310,12,500,6,Courthouse 3d
SW_CH_6a,10.122.24.34,10.122.24.251,931,251,310,10,500,6,Courthouse 6a
SW_CH_6b,10.122.24.35,10.122.24.251,931,310,251,8,500,6,Courthouse 6b
SW_CH_6c,10.122.24.36,10.122.24.251,931,310,251,3,500,4,Courthouse 6c
SW_CH_6d,10.122.24.37,10.122.24.251,931,251,310,12,500,3,Courthouse 6d
SW_Div1_MDF_Annex,10.122.24.38,10.122.24.251,931,770,770,1,,,Division1 MDF Annex
SW_Div1_MDF_LL,10.122.24.39,10.122.24.251,931,750,750,1,,,Division1 MDF LL
SW_Div1_1A,10.122.24.40,10.122.24.251,931,755,755,1,,,Division1 1A
SW_Div1_1B,10.122.24.41,10.122.24.251,931,755,755,1,,,Division1 1B
SW_Div1_1C,10.122.24.42,10.122.24.251,931,736,736,1,,,Division1 1C
SW_Div1_1D,10.122.24.43,10.122.24.251,931,741,741,1,,,Division1 1D
SW_Div2_Dorm1,10.122.24.44,10.122.24.251,931,775,775,1,,,Division2 Dorm1
SW_Div2_Dorm2,10.122.24.45,10.122.24.251,931,745,745,1,,,Division2 Dorm2
SW_Div2_Dorm3,10.122.24.46,10.122.24.251,931,785,785,1,,,Division2 Dorm3
SW_Div2_Dorm4,10.122.24.47,10.122.24.251,931,790,790,1,,,Division2 Dorm4
SW_Div3_1A,10.122.24.48,10.122.24.251,931,800,805,2,,,Division3 1A
SW_Div3_3A,10.122.24.49,10.122.24.251,931,805,805,1,,,Division3 3A
SW_Div3_MDF,10.122.24.50,10.122.24.251,931,795,30,3,,,Division3 MDF
SW_Div4_2A,10.122.24.51,10.122.24.251,931,815,815,1,,,Division4 2A
SW_Div4_2B,10.122.24.52,10.122.24.251,931,820,820,1,,,Division4 2B
SW_Div4_MDF,10.122.24.53,10.122.24.251,931,810,810,1,,,Division4 MDF
SW_Div5_MDF,10.122.24.54,10.122.24.251,931,700,700,1,,,Division5 MDF
SW_Div5_1A,10.122.24.55,10.122.24.251,931,705,705,1,,,Division5 1A
SW_Div5_1B,10.122.24.56,10.122.24.251,931,1,1,1,,,Division5 1B
SW_Div5_1C,10.122.24.57,10.122.24.251,931,1,1,1,,,Division5 1C
SW_Div5_2A,10.122.24.58,10.122.24.251,931,720,720,1,,,Division5 2A
SW_Div5_2B,10.122.24.59,10.122.24.251,931,725,725,1,,,Division5 2B
SW_Div5_2C,10.122.24.60,10.122.24.251,931,730,730,1,,,Division5 2C
SW_Div5_2D,10.122.24.61,10.122.24.251,931,735,735,1,,,Division5 2D
SW_Div8_MDF,10.122.24.62,10.122.24.251,931,746,746,1,,,Division8 MDF
SW_Div8_1A,10.122.24.63,10.122.24.251,931,718,718,1,,,Division8 1A
SW_SC_DRUG,10.122.25.11,10.122.25.251,932,747,747,1,,,South Campus DRUG
SW_SC_ELEC,10.122.25.12,10.122.25.251,932,1,1,1,,,South Campus ELEC
SW_SC_POST,10.122.25.13,10.122.25.251,932,752,752,1,,,South Campus POST
SW_SCB1_1,10.122.25.14,10.122.25.251,932,740,1110,17,,,South Campus B1 1
SW_SCB1_3,10.122.25.15,10.122.25.251,932,1,1,1,,,South Campus B1 3
SW_SCB2_MDF,10.122.25.16,10.122.25.251,932,861,861,1,,,South Campus B2 MDF
SW_SCB2_3,10.122.25.17,10.122.25.251,932,866,867,48,,,South Campus B2 3
SW_SCB3_MDF,10.122.25.18,10.122.25.251,932,871,110,2,,,South Campus B3 MDF
SW_SCB3_2,10.122.25.19,10.122.25.251,932,876,876,1,,,South Campus B3 2
SW_SCB3_4,10.122.25.20,10.122.25.251,932,881,881,1,,,South Campus B3 4
SW_SCB4_MDF,10.122.25.21,10.122.25.251,932,886,886,1,,,South Campus B4 MDF
SW_SCB4_4,10.122.25.22,10.122.25.251,932,891,891,1,,,South Campus B4 4
SW_SCB5_MDF,10.122.25.23,10.122.25.251,932,896,224,82,,,South Campus B5 MDF
SW_SCB5_2,10.122.25.24,10.122.25.251,932,34,34,1,,,South Campus B5 2
SW_BOOT_MDF,10.122.26.11,10.122.26.251,933,707,250,1,,,Bootcamp MDF
SW_BOOT_1A,10.122.26.12,10.122.26.251,933,707,707,1,,,Bootcamp 1A
SW_BOOT_2A,10.122.26.13,10.122.26.251,933,703,703,1,,,Bootcamp 2A
SW_BOOT_3A,10.122.26.14,10.122.26.251,933,708,708,1,,,Bootcamp 3A
SW_BOOT_4A,10.122.26.15,10.122.26.251,933,714,714,1,,,Bootcamp 4A
SW_BOOT_5A,10.122.26.16,10.122.26.251,933,704,704,1,,,Bootcamp 5A
SW_BOOT_EDU,10.122.26.17,10.122.26.251,933,707,707,1,,,Bootcamp EDU
SW_BOOT_GateHouse,10.122.26.18,10.122.26.251,933,707,707,1,,,Bootcamp GateHouse
SW_BOOT_Gym,10.122.26.19,10.122.26.251,933,717,717,1,,,Bootcamp Gym
SW_BOOT_Kitchen,10.122.26.20,10.122.26.251,933,707,707,1,,,Bootcamp Kitchen
SW_Div6_MDF,10.122.26.21,10.122.26.251,933,825,1100,10,,,Division6 MDF
SW_Div6_LLA,10.122.26.22,10.122.26.251,933,830,830,1,,,Division6 LLA
SW_Div6_1A,10.122.26.23,10.122.26.251,933,835,110,5,,,Division6 1A
SW_Div6_1B,10.122.26.24,10.122.26.251,933,840,840,1,,,Division6 1B
SW_Div6_1C,10.122.26.25,10.122.26.251,933,845,845,1,,,Division6 1C
SW_Div6_2A,10.122.26.26,10.122.26.251,933,850,850,1,,,Division6 2A
SW_Div6_2B,10.122.26.27,10.122.26.251,933,855,855,1,,,Division6 2B
SW_Div6_2C,10.122.26.28,10.122.26.251,933,860,994,1,,,Division6 2C
SW_Div9_MDF,10.122.26.29,10.122.26.251,933,875,110,1,,,Division9 MDF
SW_Div9_LLA,10.122.26.30,10.122.26.251,933,880,30,16,,,Division9 LLA
SW_Div9_1A,10.122.26.31,10.122.26.251,933,895,895,1,,,Division9 1A
SW_Div9_2A,10.122.26.32,10.122.26.251,933,701,701,1,,,Division9 2A
SW_Div9_3A,10.122.26.33,10.122.26.251,933,711,711,1,,,Division9 3A
SW_Div9_LLB,10.122.26.34,10.122.26.251,933,885,30,5,110,2,Division9 LLB
SW_Div9_1B,10.122.26.35,10.122.26.251,933,900,900,1,,,Division9 1B
SW_Div9_2B,10.122.26.36,10.122.26.251,933,706,706,1,,,Division9 2B
SW_Div9_3B,10.122.26.37,10.122.26.251,933,716,716,1,,,Division9 3B
SW_Div9_LLC,10.122.26.38,10.122.26.251,933,890,890,1,,,Division9 LLC
SW_Div10_MDF,10.122.26.39,10.122.26.251,933,721,721,1,,,Division10 MDF
SW_Div10_1A,10.122.26.40,10.122.26.251,933,726,726,1,,,Division10 1A
SW_Div10_2A,10.122.26.41,10.122.26.251,933,760,760,1,,,Division10 2A
SW_Div10_3A,10.122.26.42,10.122.26.251,933,749,749,1,,,Division10 3A
SW_Div10_4A,10.122.26.43,10.122.26.251,933,756,756,1,,,Division10 4A
SW_Div10_1B,10.122.26.44,10.122.26.251,933,731,731,1,,,Division10 1B
SW_Div10_2B,10.122.26.45,10.122.26.251,933,765,765,1,,,Division10 2B
SW_Div10_3B,10.122.26.46,10.122.26.251,933,751,751,1,,,Division10 3B
SW_Div10_4B,10.122.26.47,10.122.26.251,933,761,761,1,,,Division10 4B
SW_Div11_MDF,10.122.26.48,10.122.26.251,933,766,1110,8,30,5,Division11 MDF
SW_Div11_1A,10.122.26.49,10.122.26.251,933,771,771,1,,,Division11 1A
SW_Div11_1B,10.122.26.50,10.122.26.251,933,776,776,1,,,Division11 1B
SW_Div11_1C,10.122.26.51,10.122.26.251,933,737,737,1,,,Division11 1C
SW_Div11_1D,10.122.26.52,10.122.26.251,933,786,786,1,,,Division11 1D
SW_Div11_2A,10.122.26.53,10.122.26.251,933,791,791,1,,,Division11 2A
SW_Div11_3A,10.122.26.54,10.122.26.251,933,786,786,1,,,Division11 3A
SW_Div11_3B,10.122.26.55,10.122.26.251,933,801,30,5,994,2,Division11 3B
SW_Div11_3C,10.122.26.56,10.122.26.251,933,806,30,5,,,Division11 3C
SW_Div11_3D,10.122.26.57,10.122.26.251,933,811,30,5,,,Division11 3D
SW_CC_Power,10.122.26.58,10.122.26.251,933,30,110,4,994,1,CC Power
